n_watch,man,unmarried,rate10,rate20,rate30,rate40,rate50,rate60,job1,job2,job3,job4,job5,job6,job7,job8,job9,job10,job11,job12,job13,job14,job15,job16
244,0.450819672131148,0.225409836065574,0.0245901639344262,0.0901639344262295,0.19672131147541,0.34016393442623,0.254098360655738,0.0942622950819672,0.348360655737705,0.0942622950819672,0.0655737704918033,0,0.040983606557377,0.0327868852459016,0,0,0,0.0204918032786885,0.0368852459016393,0,0.155737704918033,0.155737704918033,0.0327868852459016,0.0163934426229508
28,0.392857142857143,0.178571428571429,0,0.142857142857143,0.107142857142857,0.392857142857143,0.285714285714286,0.0714285714285714,0.0714285714285714,0.0357142857142857,0.107142857142857,0,0.0714285714285714,0.0357142857142857,0,0,0,0,0.0357142857142857,0,0.392857142857143,0.107142857142857,0.0357142857142857,0.107142857142857
80,0.3625,0.2375,0.0375,0.1,0.1625,0.2625,0.3,0.1375,0.15,0.1375,0.0125,0,0.05,0.025,0,0,0,0.0125,0.05,0.0125,0.325,0.125,0.0625,0.0375
353,0.473087818696884,0.314447592067989,0.0453257790368272,0.0963172804532578,0.294617563739377,0.280453257790368,0.189801699716714,0.0934844192634561,0.331444759206799,0.110481586402266,0.0538243626062323,0,0.0311614730878187,0.0226628895184136,0,0,0,0.028328611898017,0.0396600566572238,0.0084985835694051,0.172804532577904,0.107648725212465,0.0623229461756374,0.0311614730878187
76,0.434210526315789,0.460526315789474,0.0526315789473684,0.144736842105263,0.236842105263158,0.328947368421053,0.197368421052632,0.0394736842105263,0.289473684210526,0.118421052631579,0.0263157894736842,0,0.0657894736842105,0.0131578947368421,0,0,0,0.0394736842105263,0.0921052631578947,0,0.118421052631579,0.171052631578947,0.0526315789473684,0.0131578947368421
11,0.545454545454545,0.272727272727273,0,0,0.181818181818182,0.272727272727273,0.363636363636364,0.181818181818182,0.363636363636364,0.272727272727273,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0.181818181818182,0.0909090909090909,0
60,0.5,0.166666666666667,0.0166666666666667,0.0666666666666667,0.133333333333333,0.233333333333333,0.316666666666667,0.233333333333333,0.233333333333333,0.2,0.0833333333333333,0,0.05,0.0166666666666667,0,0,0,0.0166666666666667,0.0166666666666667,0,0.183333333333333,0.0833333333333333,0.1,0.0166666666666667
26,0.461538461538462,0.153846153846154,0,0.0384615384615385,0.115384615384615,0.192307692307692,0.307692307692308,0.346153846153846,0.192307692307692,0.0384615384615385,0.0384615384615385,0.0384615384615385,0.153846153846154,0,0,0,0,0,0,0,0.230769230769231,0.115384615384615,0.192307692307692,0
43,0.395348837209302,0.232558139534884,0,0.116279069767442,0.0465116279069768,0.325581395348837,0.372093023255814,0.13953488372093,0.0930232558139535,0.0930232558139535,0.0930232558139535,0,0.0465116279069768,0,0,0,0,0,0.0697674418604651,0,0.418604651162791,0.0232558139534884,0.13953488372093,0.0232558139534884
136,0.426470588235294,0.205882352941176,0,0.0367647058823529,0.161764705882353,0.183823529411765,0.316176470588235,0.301470588235294,0.286764705882353,0.0955882352941176,0.0441176470588235,0.00735294117647059,0.0514705882352941,0.0294117647058824,0,0,0,0,0.0147058823529412,0,0.235294117647059,0.0808823529411765,0.117647058823529,0.0367647058823529
